datetime,par,par_wm2,rh,ws1_met_fixed,ws1_for_fixed,tair1_for_fixed,canT_fixed,Sin,canLin,prec,swe,st5cm
2011-12-23 16:00:00,222.25,48.4090685590909,29.055,0.892,0.312,-1.4234999999999998,-6.369,101.27420200646631,287.2309353269174,195.57999999999998,99.05999999999999,0.04833333333333297
2011-12-23 17:00:00,14.479,3.153722851145454,42.765,0.8035,0.504,-7.0935,-8.21,6.597746550513501,279.3841446836327,195.57999999999998,99.05999999999999,0.016666666666665737
2011-12-23 18:00:00,0.0005,0.0001089067909090909,35.980000000000004,1.048,0.706,-7.8149999999999995,-8.440000000000001,0.00022783847470521108,278.4152502071917,195.57999999999998,99.05999999999999,0.029999999999999253
2011-12-23 19:00:00,0.0,0.0,32.25,1.0755,0.6835,-7.94,-8.6,0.0,277.74272452759766,195.57999999999998,99.05999999999999,0.03999999999999964
2011-12-23 20:00:00,0.001,0.0002178135818181818,28.905,1.031,0.678,-7.51,-8.3,0.00045567694941042215,279.0047114002858,195.57999999999998,99.05999999999999,0.053333333333333156
2011-12-23 21:00:00,0.0,0.0,29.119999999999997,0.9259999999999999,0.6185,-7.99,-8.715,0.0,277.26009980503824,195.57999999999998,99.05999999999999,0.05999999999999945
2011-12-23 22:00:00,0.0005,0.0001089067909090909,30.065,0.9924999999999999,0.658,-8.84,-9.375,0.00022783847470521108,274.5024056239722,195.57999999999998,99.05999999999999,0.02999999999999926
2011-12-23 23:00:00,0.0005,0.0001089067909090909,29.494999999999997,1.085,0.708,-9.215,-9.625,0.00022783847470521108,273.46321539989395,195.57999999999998,99.05999999999999,-0.005000000000000189
2011-12-24 00:00:00,0.0005,0.0001089067909090909,30.555,0.9425,0.663,-9.225,-9.58,0.00022783847470521108,273.6500515194864,195.57999999999998,99.05999999999999,0.015000000000000563
2011-12-24 01:00:00,0.0,0.0,29.735,0.8895,0.5589999999999999,-8.33,-9.04,0.0,275.89956059067265,195.57999999999998,99.05999999999999,0.020000000000000753
2011-12-24 02:00:00,0.001,0.0002178135818181818,32.019999999999996,0.9005,0.6835,-8.795,-9.280000000000001,0.00045567694941042215,274.898073446483,195.57999999999998,99.05999999999999,-9.367506770274758e-16
2011-12-24 03:00:00,0.0,0.0,41.005,0.6964999999999999,0.44099999999999995,-8.510000000000002,-9.67,0.0,273.2764749691983,195.57999999999998,99.05999999999999,0.0033333333333322077
2011-12-24 04:00:00,0.0005,0.0001089067909090909,48.195,0.6835,0.443,-8.41,-9.375,0.00022783847470521108,274.5024056239722,195.57999999999998,99.05999999999999,0.0033333333333321925
2011-12-24 05:00:00,0.0005,0.0001089067909090909,53.980000000000004,0.798,0.49450000000000005,-8.465,-9.024999999999999,0.00022783847470521108,275.96224426017136,195.57999999999998,99.05999999999999,0.010000000000000368
2011-12-24 06:00:00,0.0,0.0,54.69,0.9335,0.5235000000000001,-8.370000000000001,-8.875,0.0,276.5896685866761,195.57999999999998,99.05999999999999,0.016666666666666677
2011-12-24 07:00:00,0.017,0.0037028308909090903,54.805,0.884,0.5165,-8.0,-8.975,0.007746508139977176,276.1712669694278,195.57999999999998,99.05999999999999,0.013333333333333511
2011-12-24 08:00:00,19.1445,4.169932117118181,55.14,0.7845,0.514,-7.545,-8.605,8.723707357987827,277.7217277518946,195.57999999999998,99.05999999999999,0.0216666666666659
2011-12-24 09:00:00,59.17,12.888029636181814,54.06,0.6645,0.6255,-6.8825,-8.015,26.962405096614674,280.2075776848156,195.57999999999998,99.05999999999999,0.02666666666666705
2011-12-24 10:00:00,318.55,69.3845164881818,43.6,0.16449999999999998,0.36650000000000005,-3.3495,-6.217499999999999,145.15589223468996,287.88394387248053,198.11999999999998,99.05999999999999,-0.0016666666666660876
2011-12-24 11:00:00,696.5,151.7071597363636,31.075000000000003,0.765,0.3045,0.921,-3.738,317.378995264359,298.73036645657714,198.11999999999998,99.05999999999999,-0.005000000000000178
2011-12-24 12:00:00,817.5,178.0626031363636,27.799999999999997,1.019,0.49949999999999994,3.5149999999999997,-1.858,372.51590614302006,307.15640572868836,198.11999999999998,99.05999999999999,0.005000000000000189
2011-12-24 13:00:00,816.0,177.73588276363634,28.11,1.1795,0.762,3.7445,-0.5985,371.83239071890443,312.90026723895033,198.11999999999998,99.05999999999999,0.0016666666666670458
2011-12-24 14:00:00,690.5,150.4002782454545,28.83,1.3135,0.901,3.5875,-0.061,314.64493356789643,315.3758663436629,198.11999999999998,99.05999999999999,0.01500000000000058
2011-12-24 15:00:00,501.85,109.30974603545454,30.270000000000003,1.4104999999999999,0.75,2.9195,-0.6575,228.68147706162037,312.62941755165616,198.11999999999998,99.05999999999999,-0.008333333333333333
2011-12-24 16:00:00,224.0,48.79024232727272,32.2,1.1205,0.21800000000000003,1.338,-2.1494999999999997,102.07163666793456,305.8383884273608,198.11999999999998,99.05999999999999,0.018333333333333725
2011-12-24 17:00:00,15.6665,3.4123764795545446,44.36,0.2045,0.024,-2.8865,-3.3034999999999997,7.138862927938377,300.6621688199459,198.11999999999998,99.05999999999999,-0.006666666666666287
2011-12-24 18:00:00,0.0,0.0,47.31,0.489,0.3685,-3.9825,-4.074,0.0,297.24289319496154,198.11999999999998,99.05999999999999,0.0033333333333340916
2011-12-24 19:00:00,0.0,0.0,46.525,0.7895,0.4675,-4.114,-4.3309999999999995,0.0,296.10890802047544,198.11999999999998,99.05999999999999,0.0
2011-12-24 20:00:00,0.0,0.0,46.01,0.797,0.3365,-4.2135,-4.459,0.0,295.5453336017332,198.11999999999998,99.05999999999999,0.016666666666666677
2011-12-24 21:00:00,0.0015,0.0003267203727272727,44.915,0.845,0.48350000000000004,-4.2035,-4.4725,0.0006835154241156332,295.48594104573056,198.11999999999998,99.05999999999999,0.01833333333333371
2011-12-24 22:00:00,0.0005,0.0001089067909090909,42.790000000000006,0.9159999999999999,0.3925,-4.098,-4.495,0.00022783847470521108,295.3869733454166,198.11999999999998,101.6,0.006666666666666282
2011-12-24 23:00:00,0.0005,0.0001089067909090909,42.64,0.782,0.37,-4.308999999999999,-4.7795,0.00022783847470521108,294.13772509669,198.11999999999998,101.6,-0.011666666666666483
2011-12-25 00:00:00,0.001,0.0002178135818181818,37.875,0.8245,0.6,-4.321,-4.92,0.00045567694941042215,293.52224897950146,198.11999999999998,101.6,0.019999999999999813
2011-12-25 01:00:00,0.0,0.0,39.32,0.9455,0.5475,-3.9290000000000003,-4.625500000000001,0.0,294.8134508440652,198.11999999999998,101.6,0.019999999999999803
2011-12-25 02:00:00,0.0,0.0,54.215,0.879,0.3935,-3.2715,-4.012499999999999,0.0,297.5147376723699,198.11999999999998,101.6,0.0050000000000001805
2011-12-25 03:00:00,0.001,0.0002178135818181818,72.55000000000001,0.9275,0.41200000000000003,-2.8455,-3.303,0.00045567694941042215,300.6643972201991,198.11999999999998,101.6,0.009999999999999426
2011-12-25 04:00:00,0.001,0.0002178135818181818,73.5,0.796,0.4585,-2.5435,-3.0965,0.00045567694941042215,301.58578604557226,198.11999999999998,101.6,0.023333333333333896
2011-12-25 05:00:00,0.0005,0.0001089067909090909,71.95,0.8795,0.48650000000000004,-2.4505,-2.939,0.00022783847470521108,302.28996253680106,198.11999999999998,101.6,0.033333333333333326
2011-12-25 06:00:00,0.0025,0.0005445339545454544,69.625,0.972,0.5525,-2.3635,-2.8255,0.0011391923735260552,302.7981806953999,198.11999999999998,101.6,0.03500000000000037
2011-12-25 07:00:00,0.021,0.0045740852181818175,63.94,0.9235,0.522,-1.6925,-2.5545,0.009569215937618865,304.0142271062196,198.11999999999998,101.6,0.036666666666667416
2011-12-25 08:00:00,18.315,3.9892557509999995,62.629999999999995,0.9430000000000001,0.44,-1.3685,-2.2649999999999997,8.345723328451882,305.31733023723496,198.11999999999998,101.6,0.033333333333333326
2011-12-25 09:00:00,53.435,11.638868744454543,59.65,0.808,0.627,-0.838,-2.1195,24.349097791745905,305.9738372595454,198.11999999999998,101.6,0.04666666666666685
2011-12-25 10:00:00,315.5,68.72018506363634,46.084999999999994,0.1735,0.5529999999999999,2.442,-0.6475,143.76607753898816,312.67531189772535,198.11999999999998,101.6,0.01166666666666647
2011-12-25 11:00:00,688.85,150.04088583545453,30.095,0.5815,0.37050000000000005,7.409,2.308,313.8930666013693,326.4624139365127,198.11999999999998,101.6,0.0016666666666670382
2011-12-25 12:00:00,823.0,179.26057783636358,26.07,0.9705,0.863,9.105,3.949,375.02212936477736,334.3116121983272,198.11999999999998,101.6,-9.25185853854297e-18
2011-12-25 13:00:00,820.5,178.71604388181814,31.14,1.518,1.085,7.645,4.499499999999999,373.8829369912513,336.9761862424228,198.11999999999998,101.6,0.033333333333333326
2011-12-25 14:00:00,705.4,153.6457006145454,26.91,0.8945000000000001,1.047,9.14,4.968999999999999,321.4345201141117,339.26125526595905,198.11999999999998,101.6,0.036666666666667416
2011-12-25 15:00:00,502.65000000000003,109.48399690090908,25.134999999999998,0.9315,0.974,9.285,4.8165,229.04601862114868,338.517763400199,198.11999999999998,101.6,0.033333333333333326
2011-12-25 16:00:00,221.3,48.20214565636363,26.115000000000002,0.788,0.5435,8.155,3.6055,100.84130890452643,332.65700234338505,198.11999999999998,101.6,0.04999999999999999
2011-12-25 17:00:00,15.1875,3.308043773863636,37.425,0.45199999999999996,0.48650000000000004,2.495,1.052,6.920593669170786,320.54875954227526,198.11999999999998,101.6,0.016666666666666663
2011-12-25 18:00:00,0.001,0.0002178135818181818,36.93,0.7044999999999999,0.5805,1.695,0.586,0.00045567694941042215,318.375247134901,198.11999999999998,101.6,0.028333333333333138
2011-12-25 19:00:00,0.0005,0.0001089067909090909,42.03,0.5135000000000001,0.2585,0.5865,-0.515,0.00022783847470521108,313.28388914393463,198.11999999999998,101.6,0.075
2011-12-25 20:00:00,0.0005,0.0001089067909090909,52.96,0.807,0.6100000000000001,-1.1415,-1.3835,0.00022783847470521108,309.31096292528247,198.11999999999998,101.6,0.09166666666666667
2011-12-25 21:00:00,0.0,0.0,55.13,0.714,0.4475,-1.6585,-2.053,0.0,306.27424256453526,198.11999999999998,101.6,0.06666666666666667
2011-12-25 22:00:00,0.001,0.0002178135818181818,36.18,1.171,0.7769999999999999,-1.2075,-1.4809999999999999,0.00045567694941042215,308.8673233528848,198.11999999999998,101.6,0.041666666666666664
2011-12-25 23:00:00,0.0005,0.0001089067909090909,34.58,0.7805,0.585,-2.2119999999999997,-2.4124999999999996,0.00022783847470521108,304.65287798608017,198.11999999999998,101.6,0.036666666666666466
2011-12-26 00:00:00,0.0005,0.0001089067909090909,27.21,1.2690000000000001,0.8425,-1.8225,-2.1795,0.00022783847470521108,305.70298457063126,198.11999999999998,101.6,0.056666666666667226
2011-12-26 01:00:00,0.0025,0.0005445339545454544,26.905,1.9105,1.1044999999999998,-2.174,-2.258,0.0011391923735260552,305.34889055479715,198.11999999999998,101.6,0.045000000000000755
2011-12-26 02:00:00,0.001,0.0002178135818181818,30.095,1.569,0.865,-2.776,-2.992,0.00045567694941042215,302.0528640484098,198.11999999999998,101.6,0.03166666666666628
2011-12-26 03:00:00,0.002,0.0004356271636363636,32.065,2.2125,1.2895,-3.2640000000000002,-3.1950000000000003,0.0009113538988208443,301.1460220550318,198.11999999999998,101.6,0.033333333333333326
2011-12-26 04:00:00,0.0,0.0,31.689999999999998,2.0665,1.237,-3.9030000000000005,-3.8485000000000005,0.0,298.24056789486383,198.11999999999998,101.6,0.04999999999999999
2011-12-26 05:00:00,0.0,0.0,32.865,1.355,0.688,-4.7585,-4.8045,0.0,294.02813904787376,198.11999999999998,101.6,0.06499999999999961
2011-12-26 06:00:00,0.001,0.0002178135818181818,34.815,1.162,0.6365000000000001,-5.111000000000001,-5.183999999999999,0.00045567694941042215,292.3683803295342,198.11999999999998,101.6,0.0699999999999998
